transaction_id,date,store_id,sku,product,quantity,unit_price,amount,tax,payment_method
TXN-000539,2026-03-14,S05,SKU-1006,Trekking Poles,4,34.99,139.96,10.15,card
TXN-000540,2026-03-14,S02,SKU-1012,Sleeping Bag,6,79.99,479.94,34.80,cash
TXN-000541,2026-03-14,S04,SKU-1014,Carabiner 4pk,6,9.99,59.94,4.35,online
TXN-000542,2026-03-14,S04,SKU-1012,Sleeping Bag,1,79.99,79.99,5.80,card
TXN-000543,2026-03-14,S01,SKU-1010,Down Vest,1,74.50,74.50,5.40,cash
TXN-000544,2026-03-14,S02,SKU-1013,Headlamp,4,24.99,99.96,7.25,card
TXN-000545,2026-03-14,S04,SKU-1001,Trail Runner Socks,1,6.99,6.99,0.51,card
TXN-000546,2026-03-14,S01,SKU-1005,Insulated Tumbler,3,27.99,83.97,6.09,card
TXN-000547,2026-03-14,S02,SKU-1002,Water Bottle 24oz,2,12.99,25.98,1.88,card
TXN-000548,2026-03-14,S01,SKU-1012,Sleeping Bag,2,79.99,159.98,11.60,cash
TXN-000549,2026-03-14,S04,SKU-1005,Insulated Tumbler,5,27.99,139.95,10.15,card
TXN-000550,2026-03-14,S01,SKU-1013,Headlamp,4,24.99,99.96,7.25,cash
TXN-000551,2026-03-14,S02,SKU-1014,Carabiner 4pk,1,9.99,9.99,0.72,cash
TXN-000552,2026-03-14,S01,SKU-1002,Water Bottle 24oz,2,12.99,25.98,1.88,card
TXN-000553,2026-03-14,S01,SKU-1004,Graphic Tee,1,22.00,22.00,1.59,cash
TXN-000554,2026-03-14,S01,SKU-1010,Down Vest,4,74.50,298.00,21.60,cash
TXN-000555,2026-03-14,S03,SKU-1008,Rain Jacket,3,59.99,179.97,13.05,cash
TXN-000556,2026-03-14,S02,SKU-1012,Sleeping Bag,5,79.99,399.95,29.00,card
TXN-000557,2026-03-14,S04,SKU-1008,Rain Jacket,5,59.99,299.95,21.75,card
TXN-000558,2026-03-14,S05,SKU-1014,Carabiner 4pk,1,9.99,9.99,0.72,online
TXN-000559,2026-03-14,S03,SKU-1014,Carabiner 4pk,3,9.99,29.97,2.17,cash
TXN-000560,2026-03-14,S03,SKU-1003,Ball Cap,6,18.50,111.00,8.05,cash
TXN-000561,2026-03-14,S02,SKU-1009,Hiking Boots,4,89.99,359.96,26.10,cash
TXN-000562,2026-03-14,S01,SKU-1003,Ball Cap,4,18.50,74.00,5.36,cash
TXN-000563,2026-03-14,S03,SKU-1004,Graphic Tee,6,22.00,132.00,9.57,cash
TXN-000564,2026-03-14,S01,SKU-1008,Rain Jacket,5,59.99,299.95,21.75,cash
TXN-000565,2026-03-14,S01,SKU-1001,Trail Runner Socks,3,6.99,20.97,1.52,online
TXN-000566,2026-03-14,S02,SKU-1005,Insulated Tumbler,3,27.99,83.97,6.09,card
TXN-000567,2026-03-14,S03,SKU-1010,Down Vest,3,74.50,223.50,16.20,card
TXN-000568,2026-03-14,S05,SKU-1008,Rain Jacket,4,59.99,239.96,17.40,cash
TXN-000569,2026-03-14,S04,SKU-1006,Trekking Poles,1,34.99,34.99,2.54,cash
TXN-000570,2026-03-14,S03,SKU-1014,Carabiner 4pk,3,9.99,29.97,2.17,cash
TXN-000571,2026-03-14,S03,SKU-1001,Trail Runner Socks,2,6.99,13.98,1.01,cash
TXN-000572,2026-03-14,S04,SKU-1003,Ball Cap,1,18.50,18.50,1.34,card
TXN-000573,2026-03-14,S01,SKU-1001,Trail Runner Socks,6,6.99,41.94,3.04,card
TXN-000574,2026-03-14,S01,SKU-1007,Daypack 18L,4,44.99,179.96,13.05,online
