transaction_id,date,store_id,sku,product,quantity,unit_price,amount,tax,payment_method
TXN-001850,2026-04-16,S03,SKU-1015,Trail Mix 1lb,1,7.49,7.49,0.54,cash
TXN-001851,2026-04-16,S05,SKU-1010,Down Vest,6,74.50,447.00,32.41,card
TXN-001852,2026-04-16,S04,SKU-1015,Trail Mix 1lb,1,7.49,7.49,0.54,cash
TXN-001853,2026-04-16,S02,SKU-1011,Camp Stove,6,49.99,299.94,21.75,card
TXN-001854,2026-04-16,S05,SKU-1009,Hiking Boots,4,89.99,359.96,26.10,online
TXN-001855,2026-04-16,S03,SKU-1010,Down Vest,1,74.50,74.50,5.40,card
TXN-001856,2026-04-16,S01,SKU-1004,Graphic Tee,1,22.00,22.00,1.59,card
TXN-001857,2026-04-16,S03,SKU-1004,Graphic Tee,3,22.00,66.00,4.78,card
TXN-001858,2026-04-16,S05,SKU-1005,Insulated Tumbler,4,27.99,111.96,8.12,card
TXN-001859,2026-04-16,S04,SKU-1013,Headlamp,6,24.99,149.94,10.87,card
TXN-001860,2026-04-16,S03,SKU-1005,Insulated Tumbler,1,27.99,27.99,2.03,online
TXN-001861,2026-04-16,S01,SKU-1002,Water Bottle 24oz,6,12.99,77.94,5.65,cash
TXN-001862,2026-04-16,S04,SKU-1004,Graphic Tee,3,22.00,66.00,4.78,cash
TXN-001863,2026-04-16,S03,SKU-1013,Headlamp,4,24.99,99.96,7.25,online
TXN-001864,2026-04-16,S04,SKU-1002,Water Bottle 24oz,1,12.99,12.99,0.94,card
TXN-001865,2026-04-16,S01,SKU-1003,Ball Cap,3,18.50,55.50,4.02,card
TXN-001866,2026-04-16,S03,SKU-1012,Sleeping Bag,4,79.99,319.96,23.20,card
TXN-001867,2026-04-16,S05,SKU-1007,Daypack 18L,1,44.99,44.99,3.26,cash
TXN-001868,2026-04-16,S03,SKU-1012,Sleeping Bag,3,79.99,239.97,17.40,card
TXN-001869,2026-04-16,S01,SKU-1006,Trekking Poles,5,34.99,174.95,12.68,online
TXN-001870,2026-04-16,S02,SKU-1014,Carabiner 4pk,6,9.99,59.94,4.35,card
TXN-001871,2026-04-16,S01,SKU-1011,Camp Stove,6,49.99,299.94,21.75,card
TXN-001872,2026-04-16,S04,SKU-1014,Carabiner 4pk,6,9.99,59.94,4.35,card
TXN-001873,2026-04-16,S01,SKU-1001,Trail Runner Socks,3,6.99,20.97,1.52,card
TXN-001874,2026-04-16,S05,SKU-1002,Water Bottle 24oz,6,12.99,77.94,5.65,card
TXN-001875,2026-04-16,S02,SKU-1007,Daypack 18L,5,44.99,224.95,16.31,online
TXN-001876,2026-04-16,S04,SKU-1007,Daypack 18L,4,44.99,179.96,13.05,card
TXN-001877,2026-04-16,S01,SKU-1003,Ball Cap,3,18.50,55.50,4.02,card
TXN-001878,2026-04-16,S02,SKU-1014,Carabiner 4pk,4,9.99,39.96,2.90,online
TXN-001879,2026-04-16,S02,SKU-1009,Hiking Boots,3,89.99,269.97,19.57,card
TXN-001880,2026-04-16,S01,SKU-1015,Trail Mix 1lb,3,7.49,22.47,1.63,card
TXN-001881,2026-04-16,S03,SKU-1012,Sleeping Bag,4,79.99,319.96,23.20,card
TXN-001882,2026-04-16,S03,SKU-1002,Water Bottle 24oz,5,12.99,64.95,4.71,card
TXN-001883,2026-04-16,S05,SKU-1010,Down Vest,4,74.50,298.00,21.60,online
TXN-001884,2026-04-16,S03,SKU-1011,Camp Stove,6,49.99,299.94,21.75,card
TXN-001885,2026-04-16,S04,SKU-1005,Insulated Tumbler,3,27.99,83.97,6.09,card
