transaction_id,date,store_id,sku,product,quantity,unit_price,amount,tax,payment_method
TXN-003127,2026-05-17,S05,SKU-1012,Sleeping Bag,3,79.99,239.97,17.40,card
TXN-003128,2026-05-17,S05,SKU-1008,Rain Jacket,2,59.99,119.98,8.70,cash
TXN-003129,2026-05-17,S03,SKU-1001,Trail Runner Socks,6,6.99,41.94,3.04,cash
TXN-003130,2026-05-17,S03,SKU-1014,Carabiner 4pk,6,9.99,59.94,4.35,card
TXN-003131,2026-05-17,S03,SKU-1005,Insulated Tumbler,2,27.99,55.98,4.06,cash
TXN-003132,2026-05-17,S03,SKU-1008,Rain Jacket,4,59.99,239.96,17.40,card
TXN-003133,2026-05-17,S03,SKU-1001,Trail Runner Socks,1,6.99,6.99,0.51,card
TXN-003134,2026-05-17,S05,SKU-1007,Daypack 18L,3,44.99,134.97,9.79,cash
TXN-003135,2026-05-17,S05,SKU-1013,Headlamp,1,24.99,24.99,1.81,cash
TXN-003136,2026-05-17,S01,SKU-1006,Trekking Poles,2,34.99,69.98,5.07,card
TXN-003137,2026-05-17,S01,SKU-1013,Headlamp,2,24.99,49.98,3.62,card
TXN-003138,2026-05-17,S04,SKU-1007,Daypack 18L,1,44.99,44.99,3.26,cash
TXN-003139,2026-05-17,S05,SKU-1011,Camp Stove,5,49.99,249.95,18.12,card
TXN-003140,2026-05-17,S02,SKU-1011,Camp Stove,2,49.99,99.98,7.25,card
TXN-003141,2026-05-17,S03,SKU-1004,Graphic Tee,2,22.00,44.00,3.19,cash
TXN-003142,2026-05-17,S04,SKU-1010,Down Vest,2,74.50,149.00,10.80,cash
TXN-003143,2026-05-17,S01,SKU-1009,Hiking Boots,3,89.99,269.97,19.57,card
TXN-003144,2026-05-17,S02,SKU-1003,Ball Cap,6,18.50,111.00,8.05,online
TXN-003145,2026-05-17,S05,SKU-1003,Ball Cap,1,18.50,18.50,1.34,card
TXN-003146,2026-05-17,S02,SKU-1014,Carabiner 4pk,2,9.99,19.98,1.45,cash
TXN-003147,2026-05-17,S02,SKU-1007,Daypack 18L,2,44.99,89.98,6.52,card
TXN-003148,2026-05-17,S04,SKU-1005,Insulated Tumbler,6,27.99,167.94,12.18,cash
TXN-003149,2026-05-17,S05,SKU-1004,Graphic Tee,6,22.00,132.00,9.57,cash
TXN-003150,2026-05-17,S02,SKU-1006,Trekking Poles,2,34.99,69.98,5.07,cash
TXN-003151,2026-05-17,S03,SKU-1004,Graphic Tee,4,22.00,88.00,6.38,online
TXN-003152,2026-05-17,S04,SKU-1008,Rain Jacket,3,59.99,179.97,13.05,cash
TXN-003153,2026-05-17,S03,SKU-1007,Daypack 18L,1,44.99,44.99,3.26,online
TXN-003154,2026-05-17,S01,SKU-1003,Ball Cap,4,18.50,74.00,5.36,cash
TXN-003155,2026-05-17,S05,SKU-1013,Headlamp,6,24.99,149.94,10.87,online
TXN-003156,2026-05-17,S03,SKU-1015,Trail Mix 1lb,4,7.49,29.96,2.17,card
TXN-003157,2026-05-17,S01,SKU-1005,Insulated Tumbler,5,27.99,139.95,10.15,cash
TXN-003158,2026-05-17,S01,SKU-1007,Daypack 18L,2,44.99,89.98,6.52,cash
TXN-003159,2026-05-17,S01,SKU-1004,Graphic Tee,2,22.00,44.00,3.19,cash
TXN-003160,2026-05-17,S04,SKU-1014,Carabiner 4pk,1,9.99,9.99,0.72,online
TXN-003161,2026-05-17,S02,SKU-1007,Daypack 18L,1,44.99,44.99,3.26,online
TXN-003162,2026-05-17,S04,SKU-1008,Rain Jacket,3,59.99,179.97,13.05,card
TXN-003163,2026-05-17,S04,SKU-1007,Daypack 18L,6,44.99,269.94,19.57,card
TXN-003164,2026-05-17,S01,SKU-1009,Hiking Boots,6,89.99,539.94,39.15,card
TXN-003165,2026-05-17,S03,SKU-1014,Carabiner 4pk,3,9.99,29.97,2.17,cash
TXN-003166,2026-05-17,S04,SKU-1006,Trekking Poles,1,34.99,34.99,2.54,cash
TXN-002646,2026-05-17,S02,SKU-1003,Ball Cap,1,18.50,18.50,1.34,card
TXN-003168,2026-05-17,S01,SKU-1013,Headlamp,5,24.99,124.95,9.06,card
TXN-003169,2026-05-17,S05,SKU-1001,Trail Runner Socks,6,6.99,41.94,3.04,cash
TXN-003170,2026-05-17,S05,SKU-1001,Trail Runner Socks,1,6.99,6.99,0.51,card
TXN-003171,2026-05-17,S05,SKU-1013,Headlamp,1,24.99,24.99,1.81,online
