transaction_id,date,store_id,sku,product,quantity,unit_price,amount,tax,payment_method
TXN-003844,2026-06-04,S03,SKU-1011,Camp Stove,1,49.99,49.99,3.62,cash
TXN-003845,2026-06-04,S01,SKU-1004,Graphic Tee,1,22.00,22.00,1.59,online
TXN-003846,2026-06-04,S04,SKU-1014,Carabiner 4pk,1,9.99,9.99,0.72,online
TXN-003847,2026-06-04,S01,SKU-1015,Trail Mix 1lb,-5,7.49,-37.45,-2.72,cash
TXN-003848,2026-06-04,S02,SKU-1013,Headlamp,4,24.99,99.96,7.25,online
TXN-003849,2026-06-04,S02,SKU-1008,Rain Jacket,2,59.99,119.98,8.70,online
TXN-003850,2026-06-04,S01,SKU-1003,Ball Cap,2,18.50,37.00,2.68,online
TXN-003851,2026-06-04,S05,SKU-1015,Trail Mix 1lb,5,7.49,37.45,2.72,card
TXN-003852,2026-06-04,S01,SKU-1014,Carabiner 4pk,1,9.99,9.99,0.72,cash
TXN-003853,2026-06-04,S03,SKU-1010,Down Vest,6,74.50,447.00,32.41,card
TXN-003854,2026-06-04,S03,SKU-1008,Rain Jacket,5,59.99,299.95,21.75,card
TXN-003855,2026-06-04,S02,SKU-1007,Daypack 18L,5,44.99,224.95,16.31,cash
TXN-003856,2026-06-04,S01,SKU-1010,Down Vest,4,74.50,298.00,21.60,card
TXN-003857,2026-06-04,S05,SKU-1006,Trekking Poles,5,34.99,174.95,12.68,card
TXN-003858,2026-06-04,S01,SKU-1001,Trail Runner Socks,2,6.99,13.98,1.01,cash
TXN-003859,2026-06-04,S01,SKU-1014,Carabiner 4pk,3,9.99,29.97,2.17,card
TXN-003860,2026-06-04,S01,SKU-1002,Water Bottle 24oz,3,12.99,38.97,2.83,cash
TXN-003861,2026-06-04,S01,SKU-1011,Camp Stove,5,49.99,249.95,18.12,card
TXN-003862,2026-06-04,S05,SKU-1002,Water Bottle 24oz,2,12.99,25.98,1.88,card
TXN-003863,2026-06-04,S01,SKU-1012,Sleeping Bag,6,79.99,479.94,34.80,online
TXN-003864,2026-06-04,S02,SKU-1014,Carabiner 4pk,3,9.99,29.97,2.17,online
TXN-003865,2026-06-04,S02,SKU-1015,Trail Mix 1lb,1,5087.54,5087.54,368.85,card
TXN-003866,2026-06-04,S04,SKU-1002,Water Bottle 24oz,1,12.99,12.99,0.94,cash
TXN-003867,2026-06-04,S02,SKU-1006,Trekking Poles,4,34.99,139.96,10.15,card
TXN-003868,2026-06-04,S02,SKU-1002,Water Bottle 24oz,6,12.99,77.94,5.65,card
TXN-003869,2026-06-04,S01,SKU-1009,Hiking Boots,5,89.99,449.95,32.62,cash
TXN-003870,2026-06-04,S05,SKU-1006,Trekking Poles,5,34.99,174.95,12.68,card
TXN-003871,2026-06-04,S01,SKU-1001,Trail Runner Socks,3,6.99,20.97,1.52,cash
TXN-003872,2026-06-04,S02,SKU-1014,Carabiner 4pk,5,9.99,49.95,3.62,cash
TXN-003873,2026-06-04,S05,SKU-1013,Headlamp,6,24.99,149.94,10.87,cash
TXN-003874,2026-06-04,S02,SKU-1015,Trail Mix 1lb,5,7.49,37.45,2.72,card
TXN-003875,2026-06-04,S02,SKU-1015,Trail Mix 1lb,2,7.49,14.98,1.09,card
TXN-003876,2026-06-04,S01,SKU-1001,Trail Runner Socks,5,6.99,34.95,2.53,cash
TXN-003877,2026-06-04,S01,SKU-1005,Insulated Tumbler,3,27.99,83.97,6.09,online
TXN-003878,2026-06-04,S01,SKU-1001,Trail Runner Socks,2,6.99,13.98,1.01,card
TXN-003879,2026-06-04,S01,SKU-1015,Trail Mix 1lb,4,7.49,29.96,2.17,cash
TXN-003880,2026-06-04,S01,SKU-1005,Insulated Tumbler,3,27.99,83.97,6.09,cash
TXN-003881,2026-06-04,S05,SKU-1014,Carabiner 4pk,2,9.99,19.98,1.45,cash
TXN-003882,2026-06-04,S01,SKU-1008,Rain Jacket,2,59.99,119.98,8.70,cash
TXN-003883,2026-06-04,S02,SKU-1013,Headlamp,6,24.99,149.94,10.87,card
TXN-003884,2026-06-04,S01,SKU-1002,Water Bottle 24oz,5,12.99,64.95,4.71,cash
