transaction_id,date,store_id,sku,product,quantity,unit_price,amount,tax,payment_method
TXN-001768,2026-04-14,S05,SKU-1008,Rain Jacket,5,59.99,299.95,21.75,online
TXN-001769,2026-04-14,S02,SKU-1002,Water Bottle 24oz,4,12.99,51.96,3.77,cash
TXN-001770,2026-04-14,S02,SKU-1015,Trail Mix 1lb,5,7.49,37.45,2.72,cash
TXN-001771,2026-04-14,S01,SKU-1008,Rain Jacket,2,59.99,119.98,8.70,card
TXN-001772,2026-04-14,S02,SKU-1015,Trail Mix 1lb,2,7.49,14.98,1.09,online
TXN-001773,2026-04-14,S05,SKU-1005,Insulated Tumbler,3,27.99,83.97,6.09,card
TXN-001774,2026-04-14,S05,SKU-1008,Rain Jacket,2,59.99,119.98,8.70,card
TXN-001775,2026-04-14,S02,SKU-1004,Graphic Tee,5,22.00,110.00,7.97,card
TXN-001776,2026-04-14,S05,SKU-1001,Trail Runner Socks,4,6.99,27.96,2.03,cash
TXN-001777,2026-04-14,S05,SKU-1008,Rain Jacket,3,59.99,179.97,13.05,card
TXN-001778,2026-04-14,S05,SKU-1009,Hiking Boots,2,89.99,179.98,13.05,cash
TXN-001779,2026-04-14,S05,SKU-1015,Trail Mix 1lb,1,7.49,7.49,0.54,cash
TXN-001780,2026-04-14,S03,SKU-1011,Camp Stove,6,49.99,299.94,21.75,card
TXN-001781,2026-04-14,S01,SKU-1013,Headlamp,6,24.99,149.94,10.87,card
TXN-001782,2026-04-14,S04,SKU-1002,Water Bottle 24oz,1,12.99,12.99,0.94,card
TXN-001783,2026-04-14,S01,SKU-1003,Ball Cap,2,18.50,37.00,2.68,card
TXN-001784,2026-04-14,S03,SKU-1008,Rain Jacket,2,59.99,119.98,8.70,card
TXN-001785,2026-04-14,S01,SKU-1006,Trekking Poles,6,0.00,0.00,0.00,cash
TXN-001786,2026-04-14,S05,SKU-1002,Water Bottle 24oz,6,12.99,77.94,5.65,card
TXN-001787,2026-04-14,S03,SKU-1015,Trail Mix 1lb,4,7.49,29.96,2.17,cash
TXN-001788,2026-04-14,S02,SKU-1004,Graphic Tee,6,22.00,132.00,9.57,card
TXN-001789,2026-04-14,S02,SKU-1007,Daypack 18L,3,44.99,134.97,9.79,cash
TXN-001790,2026-04-14,S03,SKU-1005,Insulated Tumbler,2,27.99,55.98,4.06,card
TXN-001791,2026-04-14,S04,SKU-1014,Carabiner 4pk,5,9.99,49.95,3.62,card
TXN-001792,2026-04-14,S01,SKU-1013,Headlamp,1,24.99,24.99,1.81,online
TXN-001793,2026-04-14,S02,SKU-1005,Insulated Tumbler,6,27.99,167.94,12.18,card
TXN-001794,2026-04-14,S05,SKU-1007,Daypack 18L,5,44.99,224.95,16.31,cash
TXN-001795,2026-04-14,S01,SKU-1012,Sleeping Bag,2,79.99,159.98,11.60,card
TXN-001796,2026-04-14,S05,SKU-1012,Sleeping Bag,3,79.99,239.97,17.40,cash
TXN-001797,2026-04-14,S03,SKU-1006,Trekking Poles,3,34.99,104.97,7.61,online
TXN-001798,2026-04-14,S01,SKU-1015,Trail Mix 1lb,1,7.49,7.49,0.54,online
TXN-001799,2026-04-14,S02,SKU-1010,Down Vest,4,74.50,298.00,21.60,online
TXN-001800,2026-04-31,S04,SKU-1010,Down Vest,5,74.50,372.50,27.01,online
TXN-001801,2026-04-14,S04,SKU-1002,Water Bottle 24oz,6,12.99,77.94,5.65,online
TXN-001802,2026-04-14,S02,SKU-1005,Insulated Tumbler,5,27.99,139.95,10.15,card
TXN-001803,2026-04-14,S02,SKU-1004,Graphic Tee,6,22.00,132.00,9.57,card
TXN-001804,2026-04-14,S01,SKU-1005,Insulated Tumbler,5,27.99,139.95,10.15,online
TXN-001805,2026-04-14,S01,SKU-1007,Daypack 18L,6,44.99,269.94,19.57,card
TXN-001806,2026-04-14,S05,SKU-1010,Down Vest,3,74.50,223.50,16.20,online
TXN-001807,2026-04-14,S01,SKU-1009,Hiking Boots,5,89.99,449.95,32.62,online
TXN-001808,2026-04-14,S01,SKU-1003,Ball Cap,2,18.50,37.00,2.68,cash
TXN-001809,2026-04-14,S01,SKU-1008,Rain Jacket,1,59.99,59.99,4.35,online
TXN-001810,2026-04-14,S03,SKU-1015,Trail Mix 1lb,3,7.49,22.47,1.63,online
TXN-001811,2026-04-14,S04,SKU-1010,Down Vest,1,74.50,74.50,5.40,cash
