transaction_id,date,store_id,sku,product,quantity,unit_price,amount,tax,payment_method
TXN-003214,2026-05-19,S03,SKU-1011,Camp Stove,4,49.99,199.96,14.50,cash
TXN-003215,2026-05-19,S05,SKU-1014,Carabiner 4pk,3,9.99,29.97,2.17,cash
TXN-003216,2026-05-19,S01,SKU-1010,Down Vest,6,74.50,447.00,32.41,card
TXN-003217,2026-05-19,S04,SKU-1011,Camp Stove,1,49.99,49.99,3.62,card
TXN-003218,2026-05-19,S03,SKU-1011,Camp Stove,2,49.99,99.98,7.25,card
TXN-003219,2026-05-19,S05,SKU-1003,Ball Cap,1,18.50,18.50,1.34,online
TXN-003220,2026-05-19,S03,SKU-1002,Water Bottle 24oz,6,12.99,77.94,5.65,cash
TXN-003221,2026-05-19,S05,SKU-1015,Trail Mix 1lb,1,7.49,7.49,0.54,cash
TXN-003222,2026-05-19,S05,SKU-1015,Trail Mix 1lb,3,7.49,22.47,1.63,cash
TXN-003223,2026-05-19,S01,SKU-1013,Headlamp,6,24.99,149.94,10.87,card
TXN-003224,2026-05-19,S03,SKU-1008,Rain Jacket,3,59.99,179.97,13.05,cash
TXN-003225,2026-05-19,S01,SKU-1008,Rain Jacket,2,59.99,119.98,8.70,card
TXN-003226,2026-05-19,S03,SKU-1003,Ball Cap,4,18.50,74.00,5.36,online
TXN-003227,2026-05-19,S01,SKU-1003,Ball Cap,6,18.50,111.00,8.05,card
TXN-003228,2026-05-19,S01,SKU-1013,Headlamp,2,24.99,49.98,3.62,online
TXN-003229,2026-05-19,S04,SKU-1010,Down Vest,4,74.50,298.00,21.60,card
TXN-003230,2026-05-19,S05,SKU-1005,Insulated Tumbler,4,27.99,111.96,8.12,cash
TXN-003231,2026-05-19,S02,SKU-1013,Headlamp,4,24.99,99.96,7.25,cash
TXN-003232,2026-05-19,S01,SKU-1001,Trail Runner Socks,1,6.99,6.99,0.51,card
TXN-003233,2026-05-19,S02,SKU-1003,Ball Cap,3,18.50,55.50,4.02,online
TXN-003234,2026-05-19,S02,SKU-1014,Carabiner 4pk,4,9.99,39.96,2.90,card
TXN-003235,2026-05-19,S03,SKU-1004,Graphic Tee,6,22.00,132.00,9.57,card
TXN-003236,2026-05-19,S01,SKU-1008,Rain Jacket,2,59.99,119.98,8.70,card
TXN-003237,2026-05-19,S02,SKU-1010,Down Vest,4,74.50,298.00,21.60,card
TXN-003238,2026-05-19,S03,SKU-1011,Camp Stove,1,49.99,49.99,3.62,online
TXN-003239,2026-05-19,S03,SKU-1003,Ball Cap,5,18.50,92.50,6.71,online
TXN-003240,2026-05-19,S03,SKU-1015,Trail Mix 1lb,3,7.49,22.47,1.63,card
TXN-003241,2026-05-19,S01,SKU-1007,Daypack 18L,3,44.99,134.97,9.79,card
TXN-003242,2026-05-19,S05,SKU-1007,Daypack 18L,3,44.99,134.97,9.79,card
TXN-003243,2026-05-19,S03,SKU-1009,Hiking Boots,4,89.99,359.96,26.10,card
TXN-003244,2026-05-19,S01,SKU-1011,Camp Stove,6,49.99,299.94,21.75,card
TXN-003245,2026-05-19,S05,SKU-1012,Sleeping Bag,6,79.99,479.94,34.80,cash
TXN-003246,2026-05-19,S04,SKU-1004,Graphic Tee,3,22.00,66.00,4.78,cash
TXN-003247,2026-05-19,S03,SKU-1011,Camp Stove,1,49.99,49.99,3.62,card
TXN-003248,2026-05-19,S01,SKU-1012,Sleeping Bag,4,79.99,319.96,23.20,online
TXN-003249,2026-05-19,S02,SKU-1010,Down Vest,6,74.50,447.00,32.41,online
TXN-003250,2026-05-19,S01,SKU-1015,Trail Mix 1lb,4,7.49,29.96,2.17,card
TXN-003251,2026-05-19,S02,SKU-1008,Rain Jacket,6,59.99,359.94,26.10,cash
